child_num,hex_id,dns_mapping,notes
0,6kg6rqiaaaaa,0.0.0.0.0.0.0.0.1.0.3.4.6.3.3.20.h3.vanhex.ca.,VanHex News Hub Experiments
1,6kg6rsiaaaaa,0.0.0.0.0.0.0.0.1.1.3.4.6.3.3.20.h3.vanhex.ca.,vanhex-newshub-1
2,6kg6ruiaaaaa,0.0.0.0.0.0.0.0.1.2.3.4.6.3.3.20.h3.vanhex.ca.,vanhex-newshub-2
3,6kg6rwiaaaaa,0.0.0.0.0.0.0.0.1.3.3.4.6.3.3.20.h3.vanhex.ca.,vanhex-newshub-3
4,6kg6ryiaaaaa,0.0.0.0.0.0.0.0.1.4.3.4.6.3.3.20.h3.vanhex.ca.,vanhex-newshub-4
5,6kg6r2iaaaaa,0.0.0.0.0.0.0.0.1.5.3.4.6.3.3.20.h3.vanhex.ca.,vanhex-news-archives
6,6kg6r4iaaaaa,0.0.0.0.0.0.0.0.1.6.3.4.6.3.3.20.h3.vanhex.ca.,
7,6kg6rqiaaaaq,1.0.0.0.0.0.0.0.1.0.3.4.6.3.3.20.h3.vanhex.ca.,
8,6kg6rsiaaaaq,1.0.0.0.0.0.0.0.1.1.3.4.6.3.3.20.h3.vanhex.ca.,
9,6kg6ruiaaaaq,1.0.0.0.0.0.0.0.1.2.3.4.6.3.3.20.h3.vanhex.ca.,
10,6kg6rwiaaaaq,1.0.0.0.0.0.0.0.1.3.3.4.6.3.3.20.h3.vanhex.ca.,
11,6kg6ryiaaaaq,1.0.0.0.0.0.0.0.1.4.3.4.6.3.3.20.h3.vanhex.ca.,
12,6kg6r2iaaaaq,1.0.0.0.0.0.0.0.1.5.3.4.6.3.3.20.h3.vanhex.ca.,
13,6kg6r4iaaaaq,1.0.0.0.0.0.0.0.1.6.3.4.6.3.3.20.h3.vanhex.ca.,
14,6kg6rqiaaaba,2.0.0.0.0.0.0.0.1.0.3.4.6.3.3.20.h3.vanhex.ca.,
15,6kg6rsiaaaba,2.0.0.0.0.0.0.0.1.1.3.4.6.3.3.20.h3.vanhex.ca.,
16,6kg6ruiaaaba,2.0.0.0.0.0.0.0.1.2.3.4.6.3.3.20.h3.vanhex.ca.,
17,6kg6rwiaaaba,2.0.0.0.0.0.0.0.1.3.3.4.6.3.3.20.h3.vanhex.ca.,
18,6kg6ryiaaaba,2.0.0.0.0.0.0.0.1.4.3.4.6.3.3.20.h3.vanhex.ca.,
19,6kg6r2iaaaba,2.0.0.0.0.0.0.0.1.5.3.4.6.3.3.20.h3.vanhex.ca.,
