child_num,hex_id,dns_mapping,notes
0,6kg6rqaaaaaa,0.0.0.0.0.0.0.0.0.0.3.4.6.3.3.20.h3.vanhex.ca.,"VanHex Landing Page"
1,6kg6rsaaaaaa,0.0.0.0.0.0.0.0.0.1.3.4.6.3.3.20.h3.vanhex.ca.,"VanHex Welcome Page"
2,6kg6ruaaaaaa,0.0.0.0.0.0.0.0.0.2.3.4.6.3.3.20.h3.vanhex.ca.,"Wikipedia Vancouver"
3,6kg6rwaaaaaa,0.0.0.0.0.0.0.0.0.3.3.4.6.3.3.20.h3.vanhex.ca.,
4,6kg6ryaaaaaa,0.0.0.0.0.0.0.0.0.4.3.4.6.3.3.20.h3.vanhex.ca.,
5,6kg6r2aaaaaa,0.0.0.0.0.0.0.0.0.5.3.4.6.3.3.20.h3.vanhex.ca.,
6,6kg6r4aaaaaa,0.0.0.0.0.0.0.0.0.6.3.4.6.3.3.20.h3.vanhex.ca.,
7,6kg6rqaaaaaq,1.0.0.0.0.0.0.0.0.0.3.4.6.3.3.20.h3.vanhex.ca.,
8,6kg6rsaaaaaq,1.0.0.0.0.0.0.0.0.1.3.4.6.3.3.20.h3.vanhex.ca.,
9,6kg6ruaaaaaq,1.0.0.0.0.0.0.0.0.2.3.4.6.3.3.20.h3.vanhex.ca.,
10,6kg6rwaaaaaq,1.0.0.0.0.0.0.0.0.3.3.4.6.3.3.20.h3.vanhex.ca.,
11,6kg6ryaaaaaq,1.0.0.0.0.0.0.0.0.4.3.4.6.3.3.20.h3.vanhex.ca.,
12,6kg6r2aaaaaq,1.0.0.0.0.0.0.0.0.5.3.4.6.3.3.20.h3.vanhex.ca.,
13,6kg6r4aaaaaq,1.0.0.0.0.0.0.0.0.6.3.4.6.3.3.20.h3.vanhex.ca.,
14,6kg6rqaaaaba,2.0.0.0.0.0.0.0.0.0.3.4.6.3.3.20.h3.vanhex.ca.,
15,6kg6rsaaaaba,2.0.0.0.0.0.0.0.0.1.3.4.6.3.3.20.h3.vanhex.ca.,
16,6kg6ruaaaaba,2.0.0.0.0.0.0.0.0.2.3.4.6.3.3.20.h3.vanhex.ca.,
17,6kg6rwaaaaba,2.0.0.0.0.0.0.0.0.3.3.4.6.3.3.20.h3.vanhex.ca.,
18,6kg6ryaaaaba,2.0.0.0.0.0.0.0.0.4.3.4.6.3.3.20.h3.vanhex.ca.,
19,6kg6r2aaaaba,2.0.0.0.0.0.0.0.0.5.3.4.6.3.3.20.h3.vanhex.ca.,
20,6kg6r4aaaaba,2.0.0.0.0.0.0.0.0.6.3.4.6.3.3.20.h3.vanhex.ca.,
